web_name,full_name,position,team_short,now_cost_m,age,status,availability,availability_reason,total_points,last_season_points,w_points_per_90,age_factor,team_factor,confidence,projected_minutes,projected_points
Igor Jesus,Igor Jesus Maciel da Cruz,FWD,NFO,6.0,25.5,a,1.0,fully available,114.0,114.0,4.474,1.0,0.992,0.6,1720.124,90.564
Muñoz,Daniel Muñoz Mejía,DEF,CRY,5.5,30.2,a,1.0,fully available,334.0,136.0,4.4,0.934,1.011,0.894,2229.238,90.223
Doku,Jérémy Doku,MID,MCI,7.5,24.2,d,0.975,"doubtful, 75% chance for GW1",306.0,120.0,5.729,1.0,1.056,0.894,1559.23,89.855
Gvardiol,Joško Gvardiol,DEF,MCI,5.5,24.6,a,1.0,fully available,355.0,79.0,4.609,1.0,1.109,0.894,1838.691,89.73
Dewsbury-Hall,Kiernan Dewsbury-Hall,MID,EVE,6.5,28.0,a,1.0,fully available,321.0,151.0,4.598,0.99,0.978,0.906,1949.078,89.662
Johnson,Brennan Johnson,MID,EVE,6.0,25.2,a,1.0,fully available,455.0,65.0,4.491,1.0,0.978,0.959,1928.858,89.332
Tarkowski,James Tarkowski,DEF,EVE,6.0,33.7,a,1.0,fully available,581.0,170.0,3.589,0.778,1.03,1.0,2904.319,88.523
Kelleher,Caoimhín Kelleher,GKP,BRE,5.0,27.7,a,1.0,fully available,232.0,143.0,3.899,1.0,0.996,1.0,2218.5,87.737
Wirtz,Florian Wirtz,MID,LIV,7.5,23.3,a,1.0,fully available,125.0,125.0,4.739,1.008,1.045,0.6,1766.845,86.982
Mukiele,Nordi Mukiele,DEF,SUN,5.5,28.8,d,0.975,"doubtful, 75% chance for GW1",151.0,151.0,4.881,0.974,1.029,0.6,2072.815,86.804
Ndiaye,Iliman Ndiaye,MID,EVE,6.0,26.5,a,1.0,fully available,242.0,128.0,4.176,1.0,0.978,0.787,1988.54,86.472
Kerkez,Milos Kerkez,DEF,LIV,5.5,22.8,a,1.0,fully available,278.0,85.0,3.369,1.021,1.024,0.894,2333.491,86.419
Martinelli,Gabriel Martinelli Silva,MID,ARS,6.5,25.2,a,1.0,fully available,608.0,57.0,5.276,1.0,1.043,1.0,1557.128,86.357
Aaronson,Brenden Aaronson,MID,LEE,5.5,25.8,a,1.0,fully available,209.0,126.0,4.272,1.0,0.987,0.693,1944.565,86.107
Richards,Chris Richards,DEF,CRY,5.0,26.4,a,1.0,fully available,271.0,128.0,3.537,1.0,1.011,0.959,2316.49,86.021
Lewis-Potter,Keane Lewis-Potter,MID,BRE,5.5,25.5,a,1.0,fully available,296.0,115.0,4.024,1.0,1.013,0.959,1914.793,85.034
Woltemade,Nick Woltemade,FWD,NEW,6.0,24.5,a,1.0,fully available,108.0,108.0,5.127,1.0,1.015,0.6,1481.924,84.443
Pope,Nick Pope,GKP,NEW,5.0,34.3,a,1.0,fully available,542.0,96.0,3.744,0.918,1.005,1.0,2317.929,84.077
Virgil,Virgil van Dijk,DEF,LIV,6.5,35.1,a,1.0,fully available,745.0,175.0,4.18,0.682,1.024,1.0,2785.4,84.037
Stach,Anton Stach,MID,LEE,6.0,27.8,a,1.0,fully available,137.0,137.0,5.205,0.992,0.987,0.6,1749.429,83.926
Cherki,Rayan Cherki,MID,MCI,7.5,23.0,a,1.0,fully available,135.0,135.0,6.857,1.012,1.056,0.6,1406.645,83.708
Sels,Matz Sels,GKP,NFO,5.0,34.5,a,1.0,fully available,289.0,105.0,3.539,0.91,1.023,0.894,2393.664,83.087
Thiaw,Malick Thiaw,DEF,NEW,5.0,25.0,a,1.0,fully available,126.0,126.0,3.827,1.0,1.004,0.6,2261.365,82.983
Andersen,Joachim Andersen,DEF,FUL,5.0,30.2,s,0.94,suspended for the opening matches,499.0,123.0,3.052,0.934,1.005,1.0,2638.788,82.574
Lammens,Senne Lammens,GKP,MUN,5.0,24.1,a,1.0,fully available,109.0,109.0,3.406,1.017,1.01,0.6,2275.196,82.55
Wharton,Adam Wharton,MID,CRY,5.5,22.5,a,1.0,fully available,204.0,112.0,3.63,1.027,0.976,0.894,1999.263,82.242
Yarmoliuk,Yehor Yarmoliuk,MID,BRE,5.0,22.5,a,1.0,fully available,180.0,104.0,3.39,1.027,1.013,0.894,1997.685,82.038
Tielemans,Youri Tielemans,MID,MUN,6.0,29.3,a,1.0,fully available,472.0,68.0,3.61,0.961,1.017,1.0,2062.717,82.03
